1672377170-1,https://set.adelaide.edu.au/student-support/study-plans,Bachelor of Agricultural Sciences,https://universityofadelaide.box.com/v/b-ag-science-S1-2023
1672377170-2,https://set.adelaide.edu.au/student-support/study-plans,Bachelor of Architectural Design,https://universityofadelaide.box.com/v/b-arch-design-S1-2023
1672377170-3,https://set.adelaide.edu.au/student-support/study-plans,Bachelor of Applied Data Analytics - Major in Agricultural Science,https://universityofadelaide.box.com/v/b-applied-da-ag-S1-2023
1672377170-4,https://set.adelaide.edu.au/student-support/study-plans,Bachelor of Applied Data Analytics - Major in Bioinformatics,https://universityofadelaide.box.com/v/b-applied-da-bioinf-S1-2023
1672377170-5,https://set.adelaide.edu.au/student-support/study-plans,Bachelor of Applied Data Analytics - Major in Economics,https://universityofadelaide.box.com/v/b-applied-da-econ-S1-2023
1672377170-6,https://set.adelaide.edu.au/student-support/study-plans,Bachelor of Applied Data Analytics - Major in Environment,https://universityofadelaide.box.com/v/b-applied-da-env-S1-2023
1672377170-7,https://set.adelaide.edu.au/student-support/study-plans,Bachelor of Applied Data Analytics - Major in Geosciences,https://universityofadelaide.box.com/v/b-applied-da-geosc-S1-2023
1672377170-8,https://set.adelaide.edu.au/student-support/study-plans,Bachelor of Applied Data Analytics - Major in Physics,https://universityofadelaide.box.com/v/b-applied-da-physics-S1-2023
1672377170-9,https://set.adelaide.edu.au/student-support/study-plans,Bachelor of Applied Data Analytics - Major in Public Health,https://universityofadelaide.box.com/v/b-applied-da-pubhlth-S1-2023
1672377170-10,https://set.adelaide.edu.au/student-support/study-plans,Bachelor of Biotechnology,https://universityofadelaide.box.com/v/b-biotech-S1-2023
1672377170-11,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Chemical - All majors,https://universityofadelaide.box.com/v/be-chem-allmajors-S1-2023
1672377170-12,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Chemical - All majors with B. Mathematical & Computer Sciences (Comp Sci major),https://universityofadelaide.box.com/v/be-chem-bmcs-cs-S1-2023
1672377170-13,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Chemical - All majors with B. Mathematical & Computer Sciences (Maths major),https://universityofadelaide.box.com/v/be-chem-bmcs-m-S1-2023
1672377170-14,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Chemical - Double degree with B. Finance & Banking,https://universityofadelaide.box.com/v/be-chem-bfinbank-S1-2023
1672377170-15,https://set.adelaide.edu.au/student-support/study-plans,B. Engineering (Honours) Chemical - Double degree with B. Science,https://universityofadelaide.box.com/v/be-chem-bsci-S1-2023
